  1 2016-10-18 22:21:30.390782      0.0.0.0 -> 255.255.255.255 DHCP 342 DHCP Discover - Transaction ID 0x8508574f
  2 2016-10-18 22:21:33.485285      0.0.0.0 -> 255.255.255.255 DHCP 342 DHCP Discover - Transaction ID 0x8508574f
 95 2016-10-18 22:21:38.792140     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=50718 Ack=1 Win=29696 Len=1448 TSval=121975460 TSecr=121975440
 96 2016-10-18 22:21:38.792173     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=52166 Win=133632 Len=0 TSval=121975484 TSecr=121975460
 97 2016-10-18 22:21:38.793399     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=52166 Ack=1 Win=29696 Len=1448 TSval=121975461 TSecr=121975441
 98 2016-10-18 22:21:38.793445     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=53614 Win=136192 Len=0 TSval=121975485 TSecr=121975461
 99 2016-10-18 22:21:38.794565     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=53614 Ack=1 Win=29696 Len=1448 TSval=121975461 TSecr=121975441
100 2016-10-18 22:21:38.794650     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=55062 Win=139264 Len=0 TSval=121975486 TSecr=121975461
101 2016-10-18 22:21:38.795823     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=55062 Ack=1 Win=29696 Len=1448 TSval=121975462 TSecr=121975442
102 2016-10-18 22:21:38.795872     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=56510 Win=142336 Len=0 TSval=121975488 TSecr=121975462
103 2016-10-18 22:21:38.797008     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [PSH, ACK] Seq=56510 Ack=1 Win=29696 Len=1448 TSval=121975462 TSecr=121975442
104 2016-10-18 22:21:38.797054     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=57958 Win=144896 Len=0 TSval=121975489 TSecr=121975462
105 2016-10-18 22:21:38.798271     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=57958 Ack=1 Win=29696 Len=1448 TSval=121975464 TSecr=121975443
106 2016-10-18 22:21:38.798326     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=59406 Win=147968 Len=0 TSval=121975490 TSecr=121975464
107 2016-10-18 22:21:38.799496     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=59406 Ack=1 Win=29696 Len=1448 TSval=121975464 TSecr=121975443
108 2016-10-18 22:21:38.799551     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=60854 Win=151040 Len=0 TSval=121975491 TSecr=121975464
109 2016-10-18 22:21:38.800730     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=60854 Ack=1 Win=29696 Len=1448 TSval=121975465 TSecr=121975445
110 2016-10-18 22:21:38.800793     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=62302 Win=153600 Len=0 TSval=121975493 TSecr=121975465
111 2016-10-18 22:21:38.801842     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=62302 Ack=1 Win=29696 Len=1448 TSval=121975465 TSecr=121975445
112 2016-10-18 22:21:38.801895     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=63750 Win=156672 Len=0 TSval=121975494 TSecr=121975465
113 2016-10-18 22:21:38.803090     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=63750 Ack=1 Win=29696 Len=1448 TSval=121975466 TSecr=121975446
