S1-time		S2-time			IAT-S2			Delay-S2		S1-chksum				S2-chksum
10:55:06.257   10:55:06.301   0:00:00                            0:00:00.044000           ['tcp_csum:4244']               ['tcp_csum:d15a']
10:55:06.257   10:55:06.302   0:00:00.001000                     0:00:00.045000           ['tcp_csum:d15a']               ['tcp_csum:2447']
10:55:06.257   10:55:06.304   0:00:00.002000                     0:00:00.047000           ['tcp_csum:2447']                ['tcp_csum:45e']
10:55:06.257   10:55:06.306   0:00:00.002000                     0:00:00.049000           ['tcp_csum:45e']                ['tcp_csum:abee']
10:55:06.257   10:55:06.306   0:00:00                            0:00:00.049000           ['tcp_csum:abee']               ['tcp_csum:502b']
10:55:06.257   10:55:06.307   0:00:00.001000                     0:00:00.050000           ['tcp_csum:502b']               ['tcp_csum:c1d7']
10:55:06.257   10:55:06.308   0:00:00.001000                     0:00:00.051000           ['tcp_csum:c1d7']               ['tcp_csum:d40f']
10:55:06.257   10:55:06.309   0:00:00.001000                     0:00:00.052000           ['tcp_csum:d40f']               ['tcp_csum:d878']
10:55:06.257   10:55:06.310   0:00:00.001000                     0:00:00.053000           ['tcp_csum:d878']               ['tcp_csum:bb33']
10:55:06.257   10:55:06.312   0:00:00.002000                     0:00:00.055000           ['tcp_csum:bb33']               ['tcp_csum:6169']
10:55:06.257   10:55:06.312   0:00:00                            0:00:00.055000           ['tcp_csum:6169']               ['tcp_csum:4cdd']
10:55:06.258   10:55:06.322   0:00:00.010000                     0:00:00.064000           ['tcp_csum:4cdd']               ['tcp_csum:dc26']
10:55:06.300   10:55:06.322   0:00:00                            0:00:00.022000           ['tcp_csum:dc26']               ['tcp_csum:15c2']
10:55:06.301   10:55:06.323   0:00:00.001000                     0:00:00.022000           ['tcp_csum:15c2']               ['tcp_csum:9505']
10:55:06.301   10:55:06.323   0:00:00                            0:00:00.022000           ['tcp_csum:9505']               ['tcp_csum:c67a']
10:55:06.301   10:55:06.324   0:00:00.001000                     0:00:00.023000           ['tcp_csum:c67a']                ['tcp_csum:447']
10:55:06.303   10:55:06.325   0:00:00.001000                     0:00:00.022000           ['tcp_csum:447']                ['tcp_csum:c9c1']
10:55:06.304   10:55:06.328   0:00:00.003000                     0:00:00.024000           ['tcp_csum:c9c1']               ['tcp_csum:9f00']
10:55:06.305   10:55:06.328   0:00:00                            0:00:00.023000           ['tcp_csum:9f00']               ['tcp_csum:137f']
10:55:06.305   10:55:06.329   0:00:00.001000                     0:00:00.024000           ['tcp_csum:137f']               ['tcp_csum:5c82']
10:55:06.307   10:55:06.331   0:00:00.002000                     0:00:00.024000           ['tcp_csum:5c82']               ['tcp_csum:36f0']
10:55:06.307   10:55:06.331   0:00:00                            0:00:00.024000           ['tcp_csum:36f0']               ['tcp_csum:d7f3']
10:55:06.310   10:55:06.333   0:00:00.002000                     0:00:00.023000           ['tcp_csum:d7f3']               ['tcp_csum:d938']
10:55:06.310   10:55:06.334   0:00:00.001000                     0:00:00.024000           ['tcp_csum:d938']               ['tcp_csum:81dc']
10:55:06.312   10:55:06.335   0:00:00.001000                     0:00:00.023000           ['tcp_csum:81dc']               ['tcp_csum:3bff']
10:55:06.312   10:55:06.337   0:00:00.002000                     0:00:00.025000           ['tcp_csum:3bff']               ['tcp_csum:a8e0']
10:55:06.314   10:55:06.338   0:00:00.001000                     0:00:00.024000           ['tcp_csum:a8e0']               ['tcp_csum:f292']
10:55:06.314   10:55:06.339   0:00:00.001000                     0:00:00.025000           ['tcp_csum:f292']                ['tcp_csum:c4d']
10:55:06.317   10:55:06.341   0:00:00.002000                     0:00:00.024000           ['tcp_csum:c4d']                ['tcp_csum:6ede']
10:55:06.317   10:55:06.341   0:00:00                            0:00:00.024000           ['tcp_csum:6ede']               ['tcp_csum:83a3']
10:55:06.321   10:55:06.342   0:00:00.001000                     0:00:00.021000           ['tcp_csum:83a3']               ['tcp_csum:8e5c']
10:55:06.321   10:55:06.343   0:00:00.001000                     0:00:00.022000           ['tcp_csum:8e5c']               ['tcp_csum:6f52']
10:55:06.323   10:55:06.345   0:00:00.002000                     0:00:00.022000           ['tcp_csum:6f52']               ['tcp_csum:c1ba']
10:55:06.323   10:55:06.346   0:00:00.001000                     0:00:00.023000           ['tcp_csum:c1ba']               ['tcp_csum:d909']
10:55:06.325   10:55:06.347   0:00:00.001000                     0:00:00.022000           ['tcp_csum:d909']               ['tcp_csum:a74a']
10:55:06.325   10:55:06.348   0:00:00.001000                     0:00:00.023000           ['tcp_csum:a74a']               ['tcp_csum:570c']
10:55:06.327   10:55:06.349   0:00:00.001000                     0:00:00.022000           ['tcp_csum:570c']               ['tcp_csum:70f6']
10:55:06.327   10:55:06.351   0:00:00.002000                     0:00:00.024000           ['tcp_csum:70f6']               ['tcp_csum:aea0']
10:55:06.329   10:55:06.352   0:00:00.001000                     0:00:00.023000           ['tcp_csum:aea0']               ['tcp_csum:8384']
10:55:06.329   10:55:06.355   0:00:00.003000                     0:00:00.026000           ['tcp_csum:8384']               ['tcp_csum:fedf']
10:55:06.332   10:55:06.356   0:00:00.001000                     0:00:00.024000           ['tcp_csum:fedf']               ['tcp_csum:e375']
10:55:06.332   10:55:06.362   0:00:00.006000                     0:00:00.030000           ['tcp_csum:e375']               ['tcp_csum:5488']
10:55:06.341   10:55:06.362   0:00:00                            0:00:00.021000           ['tcp_csum:5488']               ['tcp_csum:e39e']
